博主主页,博主昵称,发布时间,微博内容,微博地址,微博来源,评论,赞,转发
https://weibo.com/1671182972?refer_flag=1001030103_,黎佰深,2011-03-12 09:18,日本政府12日早晨宣布：继福島第一核电站之后，离第一核电站以南8千米的福島第二核电站也进入核能灾害紧急事态，其1、2、4号机压力控制室的温度超过了100℃，原子炉的压力无法得到抑制，要求周边半径3千米以内的居民撤离，10千米以内的居民留在屋内。,https://weibo.com/1671182972/bVcufT?refer_flag=1001030103_,微博 weibo.com,0,0,1
https://weibo.com/1073479391?refer_flag=1001030103_,Rorygogo,2011-03-12 09:18,日本地震重灾区宫城县约有3万中国人；1个8级地震=30个7级地震；福岛核电站可能已经泄露；强震海啸可能已致千人死亡；可能发生数十次大余震；看到有的人为了日本地震欢欣鼓舞跟我当年看到汶川地震时某些韩国人欢呼雀跃是一个感受，悲哀。 云南跟中国都要加油！！！,https://weibo.com/1073479391/bVcti1?refer_flag=1001030103_,微博 weibo.com,0,0,2
https://weibo.com/1962591344?refer_flag=1001030103_,took_xcar,2011-03-12 09:18,日本地震核电站开始泄漏放射性物质~~~~~~~~~~，日本核安全局官员12日清晨透露，福岛核电站附近放射性辐射强度已超过正常标准1000倍以上。与此同时，这座核电站开始泄露放射性物质。此前，日本东北部发生的8.9级特大 O网页链接,https://weibo.com/1962591344/bVcsgP?refer_flag=1001030103_,爱卡汽车,0,0,0
https://weibo.com/1216114137?refer_flag=1001030103_,hello啊你,2011-03-12 05:41,共同社最新消息：福岛县第一核电站附近的放射物质含量已达到正常标准的8倍。日本官员称该核电站可能已发生核泄漏。 日本首相发表声明，核电站周围10公里内居民必须撤离。,https://weibo.com/1893801487/3f4CYlfAFD?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1307417697?refer_flag=1001030103_,吾六度,2011-03-12 09:18,《日本福岛核电站开始泄漏放射性物质》 O网页链接（ 来自@手机新浪网 ）,https://weibo.com/1307417697/bVcrLJ?refer_flag=1001030103_,手机新浪网,0,0,0
https://weibo.com/1732792662?refer_flag=1001030103_,对着娃傻笑,2011-03-12 09:18,核电站出现问题，意味着什么？,https://weibo.com/1732792662/bVcr3r?refer_flag=1001030103_,微博 weibo.com,12,0,3
https://weibo.com/1672940743?refer_flag=1001030103_,船长的补丁,2011-03-12 05:41,共同社最新消息：福岛县第一核电站附近的放射物质含量已达到正常标准的8倍。日本官员称该核电站可能已发生核泄漏。 日本首相发表声明，核电站周围10公里内居民必须撤离。,https://weibo.com/1893801487/3f4CYlfAFD?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1810456712?refer_flag=1001030103_,JASON云智囊,2011-03-12 08:38,"【日本强震3月12日实时报道】- 据东京电力, 日本对福岛核电站一号和二号核反应堆压力失去控制, 日本政府将宣布东京电力福岛核电站进入紧急状态。福岛县现已疏散10万人。 O网页链接",https://weibo.com/1649159940/3f4CYlmKWh?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1927735623?refer_flag=1001030103_,SB中的SB,2011-03-12 09:17,《日本福岛核电站开始泄漏放射性物质》 O网页链接（ 来自@手机新浪网 ）,https://weibo.com/1927735623/bVcpGv?refer_flag=1001030103_,手机新浪网,0,0,0
https://weibo.com/2014301505?refer_flag=1001030103_,好长长长长长的名字,2011-03-12 10:59,视频：记者称日本地震影响不大 核电站正常运行 O网页链接  （转自 @新浪视频）,https://weibo.com/2014301505/bVsuyV?refer_flag=1001030103_,分享按钮,0,0,1
https://weibo.com/1632131671?refer_flag=1001030103_,单行本太阳,2011-03-12 10:59,高达。。。。。倒了，核电站也漏了,https://weibo.com/1632131671/bVstP1?refer_flag=1001030103_,微博 weibo.com,0,0,2
https://weibo.com/1156549885?refer_flag=1001030103_,南京灵指,2011-03-12 10:25,【日本首次确认放射性物质外泄 10万人疏散】日本经济产业省原子能安全保安院今日表示，因日本大地震而自动停止运行的福岛第一核电站正门附近的辐射量升至通常8倍以上，1号反应堆的中央控制室辐射量是通常的1000倍。这是日本首次确认有放射性物质外泄。目前已有10万人疏散。O网页链接,https://weibo.com/1618051664/3z4CYlrTQZ?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1856042155?refer_flag=1001030103_,林花咕嘟对没错是花咕嘟,2011-03-12 10:59,日本官方消息了，核电站疑似泄露，辐射超标千倍，已经疏散10万人了。,https://weibo.com/1856042155/bVsrMH?refer_flag=1001030103_,微博 weibo.com,1,0,0
https://weibo.com/1665670782?refer_flag=1001030103_,mico宁宁,2011-03-12 10:59,从福岛第1原子核电站正门附近检测到了通常8倍以上的放射线物质。核电站泄漏似已成事实。人类最终的毁灭者似乎注定是人类自己。,https://weibo.com/1665670782/bVsrYl?refer_flag=1001030103_,微博 weibo.com,2,0,0
